Soil,Sample_Type,Treatment,Experimental_Run,Replicate,Phytohormone,Concentration_ng_g
S16,Root,Insect,3,6,ABA,15.83333333
S7,Root,Control,1,1,ABA,3.444
S7,Root,Control,1,2,ABA,5.730769231
S7,Root,Control,1,3,ABA,5.458333333
S7,Root,Control,1,4,ABA,12.35294118
S7,Root,Control,1,5,ABA,9.08
S7,Root,Control,1,6,ABA,19.80769231
S7,Root,Insect,1,1,ABA,33.04
S7,Root,Insect,1,2,ABA,47.08333333
S7,Root,Insect,1,3,ABA,4.961538462
S7,Root,Insect,1,4,ABA,60.40816327
S7,Root,Insect,1,5,ABA,55
S7,Root,Insect,1,6,ABA,18.94117647
S7,Root,Insect,1,7,ABA,58.07692308
C10,Root,Control,3,10,ABA,16.28
C10,Root,Control,3,2,ABA,20.38461538
C10,Root,Control,3,3,ABA,0.967346939
C10,Root,Control,3,4,ABA,1.688461538
C10,Root,Control,3,5,ABA,6.041666667
C10,Root,Control,3,6,ABA,12.8627451
C10,Root,Insect,3,1,ABA,117.9591837
C10,Root,Insect,3,2,ABA,15.88235294
C10,Root,Insect,3,3,ABA,30.04081633
C10,Root,Insect,3,5,ABA,1.553846154
C10,Root,Insect,3,4,ABA,27.73076923
C10,Root,Insect,3,6,ABA,20.84615385
C10,Root,Insect,3,7,ABA,23.80769231
C10,Root,Insect,3,8,ABA,9.041666667
C112,Root,Control,3,1,ABA,6.31372549
C112,Root,Control,3,2,ABA,18.96153846
C112,Root,Control,3,3,ABA,4.875
C112,Root,Control,3,4,ABA,5.25
C112,Root,Control,3,5,ABA,4.52
C112,Root,Control,3,6,ABA,17.83333333
C112,Root,Insect,3,1,ABA,31.15384615
C112,Root,Insect,3,2,ABA,9.576923077
C112,Root,Insect,3,3,ABA,9.714285714
C112,Root,Insect,3,4,ABA,15.95918367
C112,Root,Insect,3,5,ABA,8.039215686
C112,Root,Insect,3,6,ABA,0.966666667
C112,Root,Insect,3,7,ABA,8.375
